keyword_norm,keyword_final_en,keyword_final_polish,keyword_semantic_id,semantic_actions,translation_method,semantic_confidence,review_flag,n
psychoanalytic training,psychoanalytic training,psychoanalytic training,app_sem_1216,no_semantic_change,untranslated_review,low,translation_review,1
psychodiagnostics,psychodiagnostics,psychodiagnostics,app_sem_1218,no_semantic_change,untranslated_review,low,translation_review,1
psychodrama,psychodrama,psychodrama,app_sem_1219,no_semantic_change,untranslated_review,low,translation_review,1
psychodynamic therapists,psychodynamic therapist,psychodynamiczny therapist,app_sem_1221,plural_to_concept:psychodynamic therapists->psychodynamic therapist,token_partial_review,medium,translation_review|semantic_merge_audit,1
psychodynamics,psychodynamics,psychodynamics,app_sem_1223,no_semantic_change,untranslated_review,low,translation_review,1
psychoeduation,psychoeducation,psychoedukacja,app_sem_1224,exact_map:psychoeduation->psychoeducation,glossary_exact,high,semantic_merge_audit,1
psychogenic binge easting,psychogenic binge easting,psychogenic binge easting,app_sem_1225,no_semantic_change,untranslated_review,low,translation_review,1
psychogenic binge eating (bed),psychogenic binge eating (bed),psychogenic binge jedzenie (bed),app_sem_1226,no_semantic_change,token_partial_review,medium,translation_review,1
psychological assistance,psychological assistance,psychologiczny assistance,app_sem_1228,no_semantic_change,token_partial_review,medium,translation_review,1
psychological counselors,psychological counselors,psychologiczny counselors,app_sem_1229,no_semantic_change,token_partial_review,medium,translation_review,1
psychological disorders,psychological disorder,psychologiczny zaburzenie,app_sem_1231,plural_to_concept:psychological disorders->psychological disorder,token_full,high,semantic_merge_audit,1
psychological flow,psychological flow,psychologiczny flow,app_sem_1233,no_semantic_change,token_partial_review,medium,translation_review,1
psychological hardiness,psychological hardiness,psychologiczny hardiness,app_sem_1235,no_semantic_change,token_partial_review,medium,translation_review,1
psychological help,psychological help,psychologiczny help,app_sem_1236,no_semantic_change,token_partial_review,medium,translation_review,1
psychological immunity,psychological immunity,psychologiczny immunity,app_sem_1237,no_semantic_change,token_partial_review,medium,translation_review,1
psychological interventions,psychological interventions,psychologiczny interventions,app_sem_1238,no_semantic_change,token_partial_review,medium,translation_review,1
psychological measurement,psychological measurement,psychologiczny measurement,app_sem_1239,no_semantic_change,token_partial_review,medium,translation_review,1
psychological predictors,psychological predictors,psychologiczny predictors,app_sem_1240,no_semantic_change,token_partial_review,medium,translation_review,1
psychological resources,psychological resources,psychologiczny resources,app_sem_1241,no_semantic_change,token_partial_review,medium,translation_review,1
psychological traits,psychological traits,psychologiczny traits,app_sem_1244,no_semantic_change,token_partial_review,medium,translation_review,1
psychometric evaluation,psychometric evaluation,psychometric evaluation,app_sem_1247,no_semantic_change,untranslated_review,low,translation_review,1
psychometric scales,psychometric scales,psychometric scales,app_sem_1249,no_semantic_change,untranslated_review,low,translation_review,1
psychometric value,psychometric value,psychometric value,app_sem_1250,no_semantic_change,untranslated_review,low,translation_review,1
psychopathological dimensions,psychopathological dimensions,psychopathological dimensions,app_sem_1251,no_semantic_change,untranslated_review,low,translation_review,1
psychopathology of adolescence,psychopathology of adolescence,psychopathology of adolescence,app_sem_1253,no_semantic_change,untranslated_review,low,translation_review,1
psychophysical wellbeing,psychophysical wellbeing,psychophysical wellbeing,app_sem_1254,no_semantic_change,untranslated_review,low,translation_review,1
psychosocial functioning,psychosocial functioning,psychosocial functioning,app_sem_1257,no_semantic_change,untranslated_review,low,translation_review,1
psychosocial impact,psychosocial impact,psychospołeczny impact,app_sem_1258,no_semantic_change,token_partial_review,medium,translation_review,1
psychosocial support,psychosocial support,psychosocial support,app_sem_1259,no_semantic_change,untranslated_review,low,translation_review,1
psychosocial support for refugees,psychosocial support for refugees,psychosocial support for refugees,app_sem_1260,no_semantic_change,untranslated_review,low,translation_review,1
psychosomatic symptoms,psychosomatic symptom,psychosomatyczny objaw,app_sem_1262,plural_to_concept:psychosomatic symptoms->psychosomatic symptom,token_full,high,semantic_merge_audit,1
psychosurgery,psychosurgery,psychosurgery,app_sem_1264,no_semantic_change,untranslated_review,low,translation_review,1
psychotherapetuic target,psychotherapeutic target,psychotherapeutic target,app_sem_1267,exact_map:psychotherapetuic target->psychotherapeutic target,untranslated_review,low,translation_review|semantic_merge_audit,1
psychotherapeutic factors,psychotherapeutic factor,psychotherapeutic czynnik,app_sem_1265,plural_to_concept:psychotherapeutic factors->psychotherapeutic factor,token_partial_review,medium,translation_review|semantic_merge_audit,1
psychotherapeutic pro-,psychotherapeutic process,proces psychoterapeutyczny,app_sem_1266,exact_map:psychotherapeutic pro-->psychotherapeutic process,glossary_exact,high,semantic_merge_audit,1
psychotherapeutic target,psychotherapeutic target,psychotherapeutic target,app_sem_1267,no_semantic_change,untranslated_review,low,translation_review,1
psychotherapeutic treatment of mental illness,psychotherapeutic treatment of mental illness,psychotherapeutic leczenie of psychiczny illness,app_sem_1268,no_semantic_change,token_partial_review,medium,translation_review,1
psychotherapy outcomes,psychotherapy outcome,wynik psychoterapii,app_sem_1273,plural_to_concept:psychotherapy outcomes->psychotherapy outcome,glossary_exact,high,semantic_merge_audit,1
psychotherapy techniques,psychotherapy techniques,psychoterapia techniques,app_sem_1276,no_semantic_change,token_partial_review,medium,translation_review,1
psychotic studies,psychotic studies,psychotyczny studies,app_sem_1278,no_semantic_change,token_partial_review,medium,translation_review,1
psychotic symptoms,psychotic symptom,psychotyczny objaw,app_sem_1279,plural_to_concept:psychotic symptoms->psychotic symptom,token_full,high,semantic_merge_audit,1
public health,public health,public health,app_sem_1280,no_semantic_change,untranslated_review,low,translation_review,1
putamen,putamen,putamen,app_sem_1281,no_semantic_change,untranslated_review,low,translation_review,1
qol measures,qol measures,qol measures,app_sem_1282,no_semantic_change,untranslated_review,low,translation_review,1
qualitative analysis,qualitative analysis,qualitative analysis,app_sem_1283,no_semantic_change,untranslated_review,low,translation_review,1
qualitative methods,qualitative methods,qualitative methods,app_sem_1284,no_semantic_change,untranslated_review,low,translation_review,1
quality of care,quality of care,jakość of care,app_sem_1286,no_semantic_change,token_partial_review,medium,translation_review,1
quality of life (qol),quality of life (qol),quality of life (qol),app_sem_1288,no_semantic_change,untranslated_review,low,translation_review,1
quantitative methods,quantitative methods,quantitative methods,app_sem_1289,no_semantic_change,untranslated_review,low,translation_review,1
quarantine,quarantine,quarantine,app_sem_1290,no_semantic_change,untranslated_review,low,translation_review,1
rapid cycling,rapid cycling,rapid cycling,app_sem_1292,no_semantic_change,untranslated_review,low,translation_review,1
rating scales,rating scales,rating scales,app_sem_1293,no_semantic_change,untranslated_review,low,translation_review,1
recovery of patients with schizophrenia diagnosis in a day rehabilitation psychiatric ward,recovery of patients with schizophrenia diagnosis in a day rehabilitation psychiatric ward,zdrowienie of patients with schizofrenia diagnoza in a day rehabilitation psychiatryczny ward,app_sem_1296,no_semantic_change,token_partial_review,medium,translation_review,1
recurrent depression,recurrent depression,recurrent depresja,app_sem_1297,no_semantic_change,token_partial_review,medium,translation_review,1
recurrent depressive disorder,recurrent depressive disorder,recurrent depressive disorder,app_sem_1298,no_semantic_change,untranslated_review,low,translation_review,1
regulatory theory of temperament,regulatory theory of temperament,regulatory theory of temperament,app_sem_1299,no_semantic_change,untranslated_review,low,translation_review,1
rehospitalisation,rehospitalisation,rehospitalisation,app_sem_1301,no_semantic_change,untranslated_review,low,translation_review,1
relationship patterns,relationship patterns,relacja patterns,app_sem_1304,no_semantic_change,token_partial_review,medium,translation_review,1
relationship with the mother,relationship with the mother,relacja with the mother,app_sem_1305,no_semantic_change,token_partial_review,medium,translation_review,1
relationship with the patient,relationship with the patient,relacja with the patient,app_sem_1306,no_semantic_change,token_partial_review,medium,translation_review,1
relationships with the mother in the family,relationships with the mother in the family,relacje with the mother in the rodzina,app_sem_1308,no_semantic_change,token_partial_review,medium,translation_review,1
reliability,reliability,reliability,app_sem_1309,no_semantic_change,untranslated_review,low,translation_review,1
reliable change,reliable change,reliable change,app_sem_1310,no_semantic_change,untranslated_review,low,translation_review,1
religion,religion,religion,app_sem_1311,no_semantic_change,untranslated_review,low,translation_review,1
religious and social predictors,religious and social predictors,religious and społeczny predictors,app_sem_1312,no_semantic_change,token_partial_review,medium,translation_review,1
religious coping,religious coping,religious radzenie sobie,app_sem_1313,no_semantic_change,token_partial_review,medium,translation_review,1
rem sleep,rem sleep,rem sen,app_sem_1315,no_semantic_change,token_partial_review,medium,translation_review,1
rem sleep behaviour disorder,rem sleep behavior disorder,rem sen behavior zaburzenie,app_sem_1316,spelling:behaviour->behavior,token_partial_review,medium,translation_review|semantic_merge_audit,1
remote working,remote working,remote working,app_sem_1317,no_semantic_change,untranslated_review,low,translation_review,1
repeated transcranial magnetic stimulation,repeated transcranial magnetic stimulation,repeated transcranial magnetic stimulation,app_sem_1318,no_semantic_change,untranslated_review,low,translation_review,1
resident,resident,resident,app_sem_1320,no_semantic_change,untranslated_review,low,translation_review,1
resiliency,resiliency,resiliency,app_sem_1323,no_semantic_change,untranslated_review,low,translation_review,1
resiliency training,resiliency training,resiliency training,app_sem_1324,no_semantic_change,untranslated_review,low,translation_review,1
respiration,respiration,respiration,app_sem_1326,no_semantic_change,untranslated_review,low,translation_review,1
reversibility,reversibility,reversibility,app_sem_1327,no_semantic_change,untranslated_review,low,translation_review,1
rhinoplasty surgery,rhinoplasty surgery,rhinoplasty surgery,app_sem_1328,no_semantic_change,untranslated_review,low,translation_review,1
risk assessment,risk assessment,ryzyko assessment,app_sem_1330,no_semantic_change,token_partial_review,medium,translation_review,1
risk behaviours,risk behaviors,ryzyko behaviors,app_sem_1331,spelling:behaviour->behavior,token_partial_review,medium,translation_review|semantic_merge_audit,1
risk managment,risk managment,ryzyko managment,app_sem_1333,no_semantic_change,token_partial_review,medium,translation_review,1
risky sexual behavior,risky sexual behavior,risky seksualny behavior,app_sem_1334,no_semantic_change,token_partial_review,medium,translation_review,1
rosacea,rosacea,rosacea,app_sem_1335,no_semantic_change,untranslated_review,low,translation_review,1
ruminative thinking,ruminative thinking,ruminative thinking,app_sem_1336,no_semantic_change,untranslated_review,low,translation_review,1
runaway girls,runaway girls,runaway girls,app_sem_1337,no_semantic_change,untranslated_review,low,translation_review,1
russia,russia,russia,app_sem_1338,no_semantic_change,untranslated_review,low,translation_review,1
salience,salience,salience,app_sem_1339,no_semantic_change,untranslated_review,low,translation_review,1
saliva,saliva,saliva,app_sem_1340,no_semantic_change,untranslated_review,low,translation_review,1
sasb,sasb,sasb,app_sem_1342,no_semantic_change,untranslated_review,low,translation_review,1
scale development,scale development,skala development,app_sem_1343,no_semantic_change,token_partial_review,medium,translation_review,1
scales,scales,scales,app_sem_1344,no_semantic_change,untranslated_review,low,translation_review,1
schema modes,schema modes,schema modes,app_sem_1345,no_semantic_change,untranslated_review,low,translation_review,1
schizoid personality disorder,schizoid personality disorder,schizoid personality disorder,app_sem_1346,no_semantic_change,untranslated_review,low,translation_review,1
schizotypy,schizotypy,schizotypy,app_sem_1348,no_semantic_change,untranslated_review,low,translation_review,1
school achievements,school achievements,school achievements,app_sem_1349,no_semantic_change,untranslated_review,low,translation_review,1
scientific production,scientific production,scientific production,app_sem_1350,no_semantic_change,untranslated_review,low,translation_review,1
second generation antipsychotics,second generation antipsychotic,second generation lek przeciwpsychotyczny,app_sem_1352,plural_to_concept:second generation antipsychotics->second generation antipsychotic,token_partial_review,medium,translation_review|semantic_merge_audit,1
seizures,seizures,seizures,app_sem_1355,no_semantic_change,untranslated_review,low,translation_review,1
selective attention,selective attention,selective attention,app_sem_1356,no_semantic_change,untranslated_review,low,translation_review,1
selective serotonin reuptake inhibitors (ssris),selective serotonin reuptake inhibitors (ssris),selective serotonin reuptake inhibitors (ssris),app_sem_1357,no_semantic_change,untranslated_review,low,translation_review,1
selenium,selenium,selenium,app_sem_1358,no_semantic_change,untranslated_review,low,translation_review,1
self perception,self perception,ja perception,app_sem_1361,no_semantic_change,token_partial_review,medium,translation_review,1
self-assessment,self-assessment,ja-assessment,app_sem_1363,no_semantic_change,token_partial_review,medium,translation_review,1
self-evaluation,self-evaluation,ja-evaluation,app_sem_1369,no_semantic_change,token_partial_review,medium,translation_review,1
self-harming,self-harming,ja-harming,app_sem_1371,no_semantic_change,token_partial_review,medium,translation_review,1
self-motivation,self-motivation,ja-motivation,app_sem_1373,no_semantic_change,token_partial_review,medium,translation_review,1
self-mutilation,self-mutilation,ja-mutilation,app_sem_1374,no_semantic_change,token_partial_review,medium,translation_review,1
self-perception,self-perception,ja-perception,app_sem_1375,no_semantic_change,token_partial_review,medium,translation_review,1
self-regulation competences,self-regulation competences,ja-regulacja competences,app_sem_1377,no_semantic_change,token_partial_review,medium,translation_review,1
self-report,self-report,ja-report,app_sem_1378,no_semantic_change,token_partial_review,medium,translation_review,1
self-starvation,self-starvation,ja-starvation,app_sem_1379,no_semantic_change,token_partial_review,medium,translation_review,1
semantic priming,semantic priming,semantic priming,app_sem_1380,no_semantic_change,untranslated_review,low,translation_review,1
semantic satiation,semantic satiation,semantic satiation,app_sem_1381,no_semantic_change,untranslated_review,low,translation_review,1
send by email,send by email,send by email,app_sem_1382,no_semantic_change,untranslated_review,low,translation_review,1
seniors,seniors,seniors,app_sem_1383,no_semantic_change,untranslated_review,low,translation_review,1
sensation seeking,sensation seeking,sensation seeking,app_sem_1384,no_semantic_change,untranslated_review,low,translation_review,1
sense of bodily identity,sense of bodily identity,sense of bodily identity,app_sem_1385,no_semantic_change,untranslated_review,low,translation_review,1
sense of life satisfaction,sense of life satisfaction,sense of życie satisfaction,app_sem_1387,no_semantic_change,token_partial_review,medium,translation_review,1
sense of self,sense of self,sense of ja,app_sem_1388,no_semantic_change,token_partial_review,medium,translation_review,1
sensory thresholds and the sense of bodily identity in schizophrenia,sensory thresholds and the sense of bodily identity in schizophrenia,sensory thresholds and the sense of bodily identity in schizofrenia,app_sem_1389,no_semantic_change,token_partial_review,medium,translation_review,1
sequential research design,sequential research design,sequential badania design,app_sem_1390,no_semantic_change,token_partial_review,medium,translation_review,1
serotonin reuptake inhibitors,serotonin reuptake inhibitors,serotonin reuptake inhibitors,app_sem_1391,no_semantic_change,untranslated_review,low,translation_review,1
sertraline,sertraline,sertraline,app_sem_1392,no_semantic_change,untranslated_review,low,translation_review,1
serum,serum,serum,app_sem_1393,no_semantic_change,untranslated_review,low,translation_review,1
serum concentration,serum concentration,serum concentration,app_sem_1394,no_semantic_change,untranslated_review,low,translation_review,1
service users,service users,service users,app_sem_1395,no_semantic_change,untranslated_review,low,translation_review,1
severe depressive episode with psychotic symptoms,severe depressive episode with psychotic symptom,severe depressive episode with psychotyczny objaw,app_sem_1396,plural_to_concept:severe depressive episode with psychotic symptoms->severe depressive episode with psychotic symptom,token_partial_review,medium,translation_review|semantic_merge_audit,1
sexual abuse,sexual abuse,seksualny abuse,app_sem_1397,no_semantic_change,token_partial_review,medium,translation_review,1
sexual disgust,sexual disgust,seksualny disgust,app_sem_1398,no_semantic_change,token_partial_review,medium,translation_review,1
sexual disorders,sexual disorder,seksualny zaburzenie,app_sem_1399,plural_to_concept:sexual disorders->sexual disorder,token_full,high,semantic_merge_audit,1
sexual dysfunctions,sexual dysfunction,dysfunkcja seksualna,app_sem_1400,plural_to_concept:sexual dysfunctions->sexual dysfunction,glossary_exact,high,semantic_merge_audit,1
sexual functioning,sexual functioning,seksualny functioning,app_sem_1401,no_semantic_change,token_partial_review,medium,translation_review,1
sexual minority men,sexual minority men,seksualny minority mężczyźni,app_sem_1404,no_semantic_change,token_partial_review,medium,translation_review,1
sexual minority stress scale (smss),sexual minority stress scale (smss),seksualny minority stres skala (smss),app_sem_1405,no_semantic_change,token_partial_review,medium,translation_review,1
sexual offending,sexual offending,seksualny offending,app_sem_1406,no_semantic_change,token_partial_review,medium,translation_review,1
sexual problems,sexual problems,seksualny problems,app_sem_1407,no_semantic_change,token_partial_review,medium,translation_review,1
sexual satisfaction,sexual satisfaction,seksualny satisfaction,app_sem_1408,no_semantic_change,token_partial_review,medium,translation_review,1
sexual traumatic events,sexual traumatic events,seksualny traumatyczny events,app_sem_1409,no_semantic_change,token_partial_review,medium,translation_review,1
shape dissatisfaction,shape dissatisfaction,shape dissatisfaction,app_sem_1412,no_semantic_change,untranslated_review,low,translation_review,1
shared psychosis,shared psychosis,shared psychosis,app_sem_1413,no_semantic_change,untranslated_review,low,translation_review,1
short health anxiety inventory,short health anxiety inventory,short zdrowie lęk inventory,app_sem_1414,no_semantic_change,token_partial_review,medium,translation_review,1
short-term dynamic therapy,short-term dynamic therapy,short-term dynamic terapia,app_sem_1416,no_semantic_change,token_partial_review,medium,translation_review,1
short-term psychotherapy,short-term psychotherapy,short-term psychoterapia,app_sem_1417,no_semantic_change,token_partial_review,medium,translation_review,1
shyness,shyness,shyness,app_sem_1418,no_semantic_change,untranslated_review,low,translation_review,1
sibling relationships,sibling relationships,sibling relacje,app_sem_1419,no_semantic_change,token_partial_review,medium,translation_review,1
skydivers,skydivers,skydivers,app_sem_1422,no_semantic_change,untranslated_review,low,translation_review,1
sleep apnea,sleep apnea,sen apnea,app_sem_1423,no_semantic_change,token_partial_review,medium,translation_review,1
sleep disorders,sleep disorder,zaburzenie snu,app_sem_1424,plural_to_concept:sleep disorders->sleep disorder,glossary_exact,high,semantic_merge_audit,1
sleep disturbances,sleep disturbance,zaburzenie snu,app_sem_1425,plural_to_concept:sleep disturbances->sleep disturbance,glossary_exact,high,semantic_merge_audit,1
sleep paralysis,sleep paralysis,sen paralysis,app_sem_1426,no_semantic_change,token_partial_review,medium,translation_review,1
snap-25 gene,snap-25 gene,snap-25 gene,app_sem_1428,no_semantic_change,untranslated_review,low,translation_review,1
social care system,social care system,społeczny care system,app_sem_1430,no_semantic_change,token_partial_review,medium,translation_review,1
social connectedness,social connectedness,społeczny connectedness,app_sem_1431,no_semantic_change,token_partial_review,medium,translation_review,1
social constructionism,social constructionism,społeczny constructionism,app_sem_1432,no_semantic_change,token_partial_review,medium,translation_review,1
social distancing,social distancing,społeczny distancing,app_sem_1434,no_semantic_change,token_partial_review,medium,translation_review,1
social exclusion,social exclusion,społeczny exclusion,app_sem_1435,no_semantic_change,token_partial_review,medium,translation_review,1
social frustration,social frustration,społeczny frustration,app_sem_1436,no_semantic_change,token_partial_review,medium,translation_review,1
social learning,social learning,społeczny learning,app_sem_1438,no_semantic_change,token_partial_review,medium,translation_review,1
social media addiction,social media addiction,społeczny media uzależnienie,app_sem_1440,no_semantic_change,token_partial_review,medium,translation_review,1
social phobia,social phobia,społeczny phobia,app_sem_1442,no_semantic_change,token_partial_review,medium,translation_review,1
social skills_,social skills,umiejętności społeczne,app_sem_1443,exact_map:social skills_->social skills,glossary_exact,high,semantic_merge_audit,1
social stresses,social stresses,społeczny stresses,app_sem_1445,no_semantic_change,token_partial_review,medium,translation_review,1
social work,social work,społeczny work,app_sem_1447,no_semantic_change,token_partial_review,medium,translation_review,1
socio-demographic characteristics,socio-demographic characteristics,socio-demographic characteristics,app_sem_1448,no_semantic_change,untranslated_review,low,translation_review,1
socioeconomic status,socioeconomic status,socioeconomic status,app_sem_1449,no_semantic_change,untranslated_review,low,translation_review,1
sodium-glucose co-transporter-2 inhibitor,sodium-glucose co-transporter-2 inhibitor,sodium-glucose co-transporter-2 inhibitor,app_sem_1451,no_semantic_change,untranslated_review,low,translation_review,1
solastalgia,solastalgia,solastalgia,app_sem_1452,no_semantic_change,untranslated_review,low,translation_review,1
solution focused brief therapy,solution focused brief therapy,solution focused brief terapia,app_sem_1453,no_semantic_change,token_partial_review,medium,translation_review,1
somatic disorders,somatic disorder,somatic zaburzenie,app_sem_1454,plural_to_concept:somatic disorders->somatic disorder,token_partial_review,medium,translation_review|semantic_merge_audit,1
somatoform,somatoform,somatoform,app_sem_1456,no_semantic_change,untranslated_review,low,translation_review,1
somatoform disorder,somatoform disorder,somatoform zaburzenie,app_sem_1457,no_semantic_change,token_partial_review,medium,translation_review,1
sparteine oxidation,sparteine oxidation,sparteine oxidation,app_sem_1458,no_semantic_change,untranslated_review,low,translation_review,1
spatial analysis,spatial analysis,spatial analysis,app_sem_1459,no_semantic_change,untranslated_review,low,translation_review,1
specific disorder,specific disorder,specific zaburzenie,app_sem_1460,no_semantic_change,token_partial_review,medium,translation_review,1
spect,spect,spect,app_sem_1461,no_semantic_change,untranslated_review,low,translation_review,1
spectrum of bipolar disorder,spectrum of bipolar disorder,spectrum of bipolar disorder,app_sem_1462,no_semantic_change,untranslated_review,low,translation_review,1
spiritual distress,spiritual distress,spiritual distress,app_sem_1463,no_semantic_change,untranslated_review,low,translation_review,1
spouse burden,spouse burden,spouse burden,app_sem_1465,no_semantic_change,untranslated_review,low,translation_review,1
st. petersburg school of clinical psychology,st. petersburg school of clinical psychology,st. petersburg school of clinical psychology,app_sem_1466,no_semantic_change,untranslated_review,low,translation_review,1
staff supervision,staff supervision,staff supervision,app_sem_1467,no_semantic_change,untranslated_review,low,translation_review,1
staff training,staff training,staff training,app_sem_1468,no_semantic_change,untranslated_review,low,translation_review,1
stages of supervision,stages of supervision,stages of supervision,app_sem_1469,no_semantic_change,untranslated_review,low,translation_review,1
statistics,statistics,statistics,app_sem_1470,no_semantic_change,untranslated_review,low,translation_review,1
stigmatization,stigmatization,stigmatization,app_sem_1472,no_semantic_change,untranslated_review,low,translation_review,1
story,story,story,app_sem_1473,no_semantic_change,untranslated_review,low,translation_review,1
stq-now,stq-now,stq-now,app_sem_1474,no_semantic_change,untranslated_review,low,translation_review,1
strategies of mapping,strategies of mapping,strategie of mapping,app_sem_1475,no_semantic_change,token_partial_review,medium,translation_review,1
stress coping strategies,stress coping strategy,stres strategia radzenia sobie,app_sem_1478,plural_to_concept:stress coping strategies->stress coping strategy,token_partial_review,medium,translation_review|semantic_merge_audit,1
stress reactivity,stress reactivity,stres reactivity,app_sem_1480,no_semantic_change,token_partial_review,medium,translation_review,1
strp,strp,strp,app_sem_1483,no_semantic_change,untranslated_review,low,translation_review,1
structural equation modeling,structural equation modeling,structural equation modeling,app_sem_1484,no_semantic_change,untranslated_review,low,translation_review,1
structure,structure,structure,app_sem_1485,no_semantic_change,untranslated_review,low,translation_review,1
structured professional judgement,structured professional judgement,structured professional judgement,app_sem_1486,no_semantic_change,untranslated_review,low,translation_review,1
student training,student training,student training,app_sem_1487,no_semantic_change,untranslated_review,low,translation_review,1
stuttering,stuttering,stuttering,app_sem_1489,no_semantic_change,untranslated_review,low,translation_review,1
styles of coping with stress,styles of coping with stress,styles of radzenie sobie with stres,app_sem_1490,no_semantic_change,token_partial_review,medium,translation_review,1
styles of interpersonal functioning,styles of interpersonal functioning,styles of interpersonal functioning,app_sem_1491,no_semantic_change,untranslated_review,low,translation_review,1
subjective aspects,subjective aspects,subjective aspects,app_sem_1492,no_semantic_change,untranslated_review,low,translation_review,1
subjective quality of life,subjective quality of life,subjective quality of life,app_sem_1493,no_semantic_change,untranslated_review,low,translation_review,1
submit your paper,submit your paper,submit your paper,app_sem_1494,no_semantic_change,untranslated_review,low,translation_review,1
subtypes,subtypes,subtypes,app_sem_1497,no_semantic_change,untranslated_review,low,translation_review,1
suicidal behaviour,suicidal behavior,zachowanie samobójcze,app_sem_1499,spelling:behaviour->behavior,glossary_exact,high,semantic_merge_audit,1
suicidal thoughts,suicidal thoughts,samobójczy thoughts,app_sem_1500,no_semantic_change,token_partial_review,medium,translation_review,1
suicide ideation,suicide ideation,samobójstwo ideation,app_sem_1503,no_semantic_change,token_partial_review,medium,translation_review,1
supervision,supervision,supervision,app_sem_1504,no_semantic_change,untranslated_review,low,translation_review,1
support group,support group,wsparcie group,app_sem_1506,no_semantic_change,token_partial_review,medium,translation_review,1
supportive-expressive therapy,supportive-expressive therapy,supportive-expressive terapia,app_sem_1507,no_semantic_change,token_partial_review,medium,translation_review,1
suppression,suppression,suppression,app_sem_1508,no_semantic_change,untranslated_review,low,translation_review,1
survivor,survivor,survivor,app_sem_1509,no_semantic_change,untranslated_review,low,translation_review,1
survivors,survivors,survivors,app_sem_1510,no_semantic_change,untranslated_review,low,translation_review,1
symptom improvement,symptom improvement,objaw improvement,app_sem_1512,no_semantic_change,token_partial_review,medium,translation_review,1
symptomatic dimensions,symptomatic dimensions,symptomatic dimensions,app_sem_1513,no_semantic_change,untranslated_review,low,translation_review,1
symptoms of depression,symptoms of depression,objawy of depresja,app_sem_1514,no_semantic_change,token_partial_review,medium,translation_review,1
synthetic cannabinoids,synthetic cannabinoids,synthetic cannabinoids,app_sem_1516,no_semantic_change,untranslated_review,low,translation_review,1
systemic therapy,systemic therapy,systemic terapia,app_sem_1518,no_semantic_change,token_partial_review,medium,translation_review,1
taboo,taboo,taboo,app_sem_1519,no_semantic_change,untranslated_review,low,translation_review,1
tako tsubo,tako tsubo,tako tsubo,app_sem_1520,no_semantic_change,untranslated_review,low,translation_review,1
tako-tsubo,tako-tsubo,tako-tsubo,app_sem_1521,no_semantic_change,untranslated_review,low,translation_review,1
teachers,teachers,teachers,app_sem_1523,no_semantic_change,untranslated_review,low,translation_review,1
techniques of coping stress,techniques of coping stress,techniques of radzenie sobie stres,app_sem_1524,no_semantic_change,token_partial_review,medium,translation_review,1
temperament and character,temperament and character,temperament and character,app_sem_1526,no_semantic_change,untranslated_review,low,translation_review,1
temporomandibular disorders,temporomandibular disorder,temporomandibular zaburzenie,app_sem_1528,plural_to_concept:temporomandibular disorders->temporomandibular disorder,token_partial_review,medium,translation_review|semantic_merge_audit,1
temporomandibular joint dysfunction,temporomandibular joint dysfunction,temporomandibular joint dysfunkcja,app_sem_1529,no_semantic_change,token_partial_review,medium,translation_review,1
temptation of omnipotence,temptation of omnipotence,temptation of omnipotence,app_sem_1530,no_semantic_change,untranslated_review,low,translation_review,1
terms for recipients of mental health services,terms for recipients of mental health services,terms for recipients of mental health services,app_sem_1531,no_semantic_change,untranslated_review,low,translation_review,1
territoriality,territoriality,territoriality,app_sem_1532,no_semantic_change,untranslated_review,low,translation_review,1
thanatosis,thanatosis,thanatosis,app_sem_1533,no_semantic_change,untranslated_review,low,translation_review,1
the big five personality factors,the big five personality factor,the big five osobowość czynnik,app_sem_1534,plural_to_concept:the big five personality factors->the big five personality factor,token_partial_review,medium,translation_review|semantic_merge_audit,1
the centrality of religiosity,the centrality of religiosity,the centrality of religiosity,app_sem_1535,no_semantic_change,untranslated_review,low,translation_review,1
the code of ethics for psychotherapists,the code of ethics for psychotherapist,the code of ethics for psychotherapist,app_sem_1536,plural_to_concept:the code of ethics for psychotherapists->the code of ethics for psychotherapist,untranslated_review,low,translation_review|semantic_merge_audit,1
the dark triad,the dark triad,the dark triad,app_sem_1537,no_semantic_change,untranslated_review,low,translation_review,1
the elderly,the elderly,the elderly,app_sem_1538,no_semantic_change,untranslated_review,low,translation_review,1
the light triad,the light triad,the light triad,app_sem_1539,no_semantic_change,untranslated_review,low,translation_review,1
the number of sex partners,the number of sex partners,the number of sex partners,app_sem_1540,no_semantic_change,untranslated_review,low,translation_review,1
the offer self-image questionnaire for adolescents,the offer self-image questionnaire for adolescents,the offer ja-obraz kwestionariusz for adolescenci,app_sem_1541,no_semantic_change,token_partial_review,medium,translation_review,1
the paradox,the paradox,the paradox,app_sem_1542,no_semantic_change,untranslated_review,low,translation_review,1
the quality of sexuality,the quality of sexuality,the jakość of sexuality,app_sem_1543,no_semantic_change,token_partial_review,medium,translation_review,1
thematic analysis,thematic analysis,thematic analysis,app_sem_1544,no_semantic_change,untranslated_review,low,translation_review,1
thendency to computer games,thendency to computer games,thendency to computer games,app_sem_1545,no_semantic_change,untranslated_review,low,translation_review,1
therapeutic influence,therapeutic influence,terapeutyczny influence,app_sem_1548,no_semantic_change,token_partial_review,medium,translation_review,1
therapeutic process,therapeutic process,terapeutyczny process,app_sem_1549,no_semantic_change,token_partial_review,medium,translation_review,1
